letter,freq,percent
E,3346364,0.1374374047083496
A,2802940,0.1151186180443076
S,2154762,0.0884975146290639
O,1823972,0.07491174837546
R,1757797,0.07219389692338395
T,1737820,0.07137342818960044
I,1496436,0.06145962607538923
N,1469961,0.06037228014121903
L,1298925,0.0533477173764698
D,892975,0.036675079719193274
C,693292,0.028473965529470523
P,679518,0.027908258149026314
M,668084,0.02743865613160225
H,560281,0.023011114913798623
U,555386,0.02281007399414751
G,470007,0.019303501434618967
B,455616,0.018712453452045086
Y,346309,0.014223141949633644
W,255996,0.010513926714403652
F,251671,0.010336296075488216
K,248488,0.010205568139380047
V,194278,0.007979127229413399
X,66541,0.0027328833165484357
Z,53878,0.0022128054482048157
J,48553,0.001994104141332054
Q,18427,0.000756809198449648