year,oreo,four,total
1950,0,3928,15412
1951,0,9221,31490
1952,1,9405,31292
1953,1,9666,30544
1954,0,10146,31152
1955,0,10093,31336
1956,1,10488,31534
1957,2,10062,31296
1958,0,9485,29820
1959,1,10147,31322
1960,0,9940,31328
1961,2,10172,31328
1962,3,9958,30968
1963,3,9854,29460
1964,6,10284,31472
1965,2,10122,30207
1966,9,10555,31524
1967,5,10649,31594
1968,9,10468,31522
1969,2,10941,31536
1970,4,10653,31581
1971,5,10974,31582
1972,3,10835,31800
1973,0,10787,31618
1974,1,10710,31626
1975,5,11487,31752
1976,4,11076,31800
1977,1,10992,31404
1978,4,8524,23900
1979,4,11194,31356
1980,1,11280,31410
1981,3,11559,31260
1982,5,11332,31216
1983,1,11343,31221
1984,1,11186,31330
1985,0,10945,31226
1986,1,11198,31330
1987,3,11327,31458
1988,2,11127,31456
1989,0,10898,31372
1990,1,11039,31328
1991,2,11211,31384
1992,2,11045,31426
1993,7,10681,31305
1994,9,9422,31200
1995,8,9588,31149
1996,13,9748,31352
1997,8,9430,31556
1998,18,9887,31745
1999,31,10407,34105
2000,22,10349,33921
2001,20,10556,34305
2002,16,9845,33362
2003,13,10140,33670
2004,13,9960,32934
2005,13,9373,32495
2006,9,9676,32622
2007,15,9505,32481
2008,15,9386,32241
2009,18,9037,31866
2010,13,8759,31109
2011,14,9006,31847
2012,14,10257,37936
2013,13,11382,42158
2014,16,10153,37725
2015,16,8238,30340
2016,20,6833,25392
2017,15,8212,30376
2018,14,8156,30222
2019,18,8322,30155
2020,12,7302,25851