year,oreo,mountain,cookie,four,total
1950,0,0,0,3928,15412
1951,0,0,0,9221,31490
1952,1,1,0,9405,31292
1953,1,1,0,9666,30544
1954,0,0,0,10146,31152
1955,0,0,0,10093,31336
1956,1,1,0,10488,31534
1957,2,2,0,10062,31296
1958,0,0,0,9485,29820
1959,1,1,0,10147,31322
1960,0,0,0,9940,31328
1961,2,2,0,10172,31328
1962,3,3,0,9958,30968
1963,3,3,0,9854,29460
1964,6,6,0,10284,31472
1965,2,2,0,10122,30207
1966,9,9,0,10555,31524
1967,5,5,0,10649,31594
1968,9,9,0,10468,31522
1969,2,2,0,10941,31536
1970,4,4,0,10653,31581
1971,5,5,0,10974,31582
1972,3,3,0,10835,31800
1973,0,0,0,10787,31618
1974,1,1,0,10710,31626
1975,5,5,0,11487,31752
1976,4,4,0,11076,31800
1977,1,1,0,10992,31404
1978,4,4,0,8524,23900
1979,4,4,0,11194,31356
1980,1,1,0,11280,31410
1981,3,3,0,11559,31260
1982,5,5,0,11332,31216
1983,1,1,0,11343,31221
1984,1,1,0,11186,31330
1985,0,0,0,10945,31226
1986,1,1,0,11198,31330
1987,3,3,0,11327,31458
1988,2,2,0,11127,31456
1989,0,0,0,10898,31372
1990,1,1,0,11039,31328
1991,2,2,0,11211,31384
1992,2,2,0,11045,31426
1993,7,6,1,10681,31305
1994,9,0,9,9422,31200
1995,8,0,8,9588,31149
1996,13,0,13,9748,31352
1997,8,0,8,9430,31556
1998,18,0,18,9887,31745
1999,31,1,30,10407,34105
2000,22,0,22,10349,33921
2001,20,0,20,10556,34305
2002,16,0,16,9845,33362
2003,13,0,13,10140,33670
2004,13,0,13,9960,32934
2005,13,0,13,9373,32495
2006,9,0,9,9676,32622
2007,15,0,15,9505,32481
2008,15,0,15,9386,32241
2009,18,0,18,9037,31866
2010,13,0,13,8759,31109
2011,14,0,14,9006,31847
2012,14,0,14,10257,37936
2013,13,0,13,11382,42158
2014,16,0,16,10153,37725
2015,16,0,16,8238,30340
2016,20,0,20,6833,25392
2017,15,0,15,8212,30376
2018,14,0,14,8156,30222
2019,18,0,18,8322,30155
2020,12,0,12,7302,25851